set,list,zookeeper,packet,cluster,session,expir,reconnect,respons,fail,server,miss,zxid,lead,memori,transfer,state,add,test,updat,node,return,allow,watch,part,data,restart,case,work,request,keep,snapshot,timeout,ensembl,commit,chang,connect
0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,2.0,0,0,2.0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,1.0
1.0,2.0,0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,2.0,0,3.0,2.0,0,0,0,0,0,0,0,0,2.0,0
0,2.0,1.0,0,1.0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,1.0,1.0,1.0,2.0,1.0,0,0,0,3.0,2.0,1.0,2.0,0,0,0,0,0,0,2.0,0
0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,1.0,3.0,0,0,2.0,0,0,0,0,0,1.0,0,0
0,0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0
