t-bug,t-new,period
3,0,2010-Q3
3,0,2010-Q4
9,1,2011-Q1
3,0,2011-Q2
10,2,2011-Q3
15,2,2011-Q4
21,4,2012-Q1
23,4,2012-Q2
17,2,2012-Q3
15,2,2012-Q4
34,5,2013-Q1
19,4,2013-Q2
48,5,2013-Q3
45,2,2013-Q4
53,6,2014-Q1
43,3,2014-Q2
46,8,2014-Q3
44,2,2014-Q4
54,9,2015-Q1
49,8,2015-Q2
73,8,2015-Q3
53,5,2015-Q4
54,5,2016-Q1
42,6,2016-Q2
22,4,2016-Q3
