hw-,sw-,period
0,3,2010-Q3
0,3,2010-Q4
0,10,2011-Q1
0,3,2011-Q2
0,12,2011-Q3
0,17,2011-Q4
0,25,2012-Q1
0,27,2012-Q2
0,19,2012-Q3
0,17,2012-Q4
0,39,2013-Q1
0,23,2013-Q2
0,53,2013-Q3
0,47,2013-Q4
0,59,2014-Q1
1,45,2014-Q2
0,54,2014-Q3
0,46,2014-Q4
1,62,2015-Q1
0,57,2015-Q2
0,81,2015-Q3
1,57,2015-Q4
0,59,2016-Q1
0,48,2016-Q2
0,26,2016-Q3
