High,heat,Critical,Medium,N/A,Low
0,4,0,0,1,0
156,6,40,160,214,83
14,8,4,10,21,10
9,10,3,21,17,5
9,12,2,8,5,2
12,14,4,7,10,5
5,16,1,5,1,1
3,18,2,2,2,0
1,20,0,1,2,0
3,22,1,1,2,0
2,24,1,0,0,0
1,26,0,1,1,1
0,28,0,0,0,1
0,30,1,0,3,0
1,32,0,0,0,0
0,34,0,0,0,1
1,40,0,0,0,0
0,42,0,0,0,1
0,44,0,0,1,0
1,52,1,0,0,0
1,58,0,0,0,0
1,68,0,0,0,0
0,84,0,1,0,0
0,260,1,0,0,0
1,266,0,0,0,0
0,268,1,0,0,0
0,272,1,0,0,0
1,276,0,0,0,0
0,278,1,0,0,0
1,282,0,0,0,0
1,290,0,0,0,0
