importance,misc,nova,heat,meta,keystone,horizon,fuel,cinder,neutron
Critical,32,7,,8,2,4,5,1,5
High,78,25,10,22,4,7,55,5,18
Low,47,15,2,16,7,7,2,6,8
Medium,73,32,13,38,11,13,15,4,18
N/A,123,35,13,45,7,13,4,22,18
