t-bug,heat,t-new
1,4,0
584,6,69
56,8,3
50,10,5
22,12,4
30,14,8
12,16,1
8,18,1
4,20,0
6,22,1
3,24,0
4,26,0
1,28,0
4,30,0
1,32,0
1,34,0
1,40,0
1,42,0
1,44,0
2,52,0
1,58,0
0,68,1
1,84,0
1,260,0
1,266,0
1,268,0
0,272,1
1,276,0
0,278,1
0,282,1
0,290,1
