IDF,TF*IDF,DF,TF,Word
0.07692307692307693,1.0,12.0,13.0,jira
0.022222222222222223,1.1555555555555557,44.0,52.0,code
0.08333333333333333,1.3333333333333333,11.0,16.0,protocol
0.037037037037037035,1.0,26.0,27.0,execut
0.07692307692307693,1.6153846153846154,12.0,21.0,port
0.058823529411764705,1.4117647058823528,16.0,24.0,page
0.08333333333333333,1.5833333333333333,11.0,19.0,jar
0.07142857142857142,1.357142857142857,13.0,19.0,interrupt
0.022727272727272728,1.6136363636363638,43.0,71.0,kill
0.05263157894736842,1.4210526315789473,18.0,27.0,permiss
0.05263157894736842,1.3157894736842104,18.0,25.0,touch
0.07142857142857142,0.9285714285714285,13.0,13.0,follow
0.08333333333333333,1.1666666666666665,11.0,14.0,environ
0.03571428571428571,1.5,27.0,42.0,disk
0.08333333333333333,1.0833333333333333,11.0,13.0,pointer
0.037037037037037035,1.1481481481481481,26.0,31.0,xml
0.05555555555555555,1.4444444444444444,17.0,26.0,write
0.09090909090909091,1.3636363636363638,10.0,15.0,locat
0.07142857142857142,2.142857142857143,13.0,30.0,slot
0.08333333333333333,1.4166666666666665,11.0,17.0,window
0.027777777777777776,1.9166666666666665,35.0,69.0,cache
0.0625,1.0,15.0,16.0,apach
0.030303030303030304,1.3636363636363638,32.0,45.0,yarn
0.0625,1.1875,15.0,19.0,mr-
0.1111111111111111,1.4444444444444444,8.0,13.0,script
0.03125,1.28125,31.0,41.0,add
0.1111111111111111,1.222222222222222,8.0,11.0,pend
0.045454545454545456,1.3636363636363638,21.0,30.0,restart
0.041666666666666664,1.9583333333333333,23.0,47.0,jvm
0.022727272727272728,1.3636363636363638,43.0,60.0,master
0.02702702702702703,1.972972972972973,36.0,73.0,input
0.0625,0.9375,15.0,15.0,improve
0.02857142857142857,1.4,34.0,49.0,local
0.05555555555555555,1.1111111111111112,17.0,20.0,build
0.058823529411764705,1.8823529411764706,16.0,32.0,count
0.017543859649122806,1.3333333333333333,56.0,76.0,sourc
0.04,1.08,24.0,27.0,return
0.1111111111111111,1.222222222222222,8.0,11.0,string
0.03125,1.59375,31.0,51.0,format
0.034482758620689655,1.2413793103448276,28.0,36.0,handl
0.1,1.0,9.0,10.0,initi
0.1,1.3,9.0,13.0,period
0.025,1.375,39.0,55.0,condit
0.02857142857142857,1.4285714285714286,34.0,50.0,report
0.1111111111111111,0.8888888888888888,8.0,8.0,associ
0.0625,1.0625,15.0,17.0,requir
0.05555555555555555,1.0555555555555556,17.0,19.0,enabl
0.0625,1.375,15.0,22.0,mapper
0.043478260869565216,1.6521739130434783,22.0,38.0,name
0.09090909090909091,1.2727272727272727,10.0,14.0,level
0.05555555555555555,1.5,17.0,27.0,list
0.010416666666666666,1.1666666666666665,95.0,112.0,mapreduce
0.1111111111111111,1.3333333333333333,8.0,12.0,authent
0.023809523809523808,1.4047619047619047,41.0,59.0,server
0.027777777777777776,1.3888888888888888,35.0,50.0,default
0.03225806451612903,2.7096774193548385,30.0,84.0,token
0.03333333333333333,1.4,29.0,42.0,race
0.08333333333333333,1.1666666666666665,11.0,14.0,mode
0.0625,1.3125,15.0,21.0,timeout
0.013333333333333334,1.8666666666666667,74.0,140.0,contain
0.1111111111111111,1.0,8.0,9.0,hung
0.015151515151515152,1.8333333333333335,65.0,121.0,output
0.015384615384615385,1.476923076923077,64.0,96.0,manag
0.07692307692307693,1.3076923076923077,12.0,17.0,acl
0.038461538461538464,0.9615384615384616,25.0,25.0,prevent
0.011363636363636364,1.5227272727272727,87.0,134.0,set
0.1,1.2000000000000002,9.0,12.0,fair
0.06666666666666667,1.6,14.0,24.0,linux
0.1111111111111111,1.6666666666666665,8.0,15.0,group
0.0625,1.375,15.0,22.0,finish
0.058823529411764705,1.3529411764705883,16.0,23.0,connect
0.004975124378109453,1.6318407960199004,200.0,328.0,fail
0.0625,1.4375,15.0,23.0,close
0.09090909090909091,1.0909090909090908,10.0,12.0,stack
0.1,1.0,9.0,10.0,extract
0.043478260869565216,1.8695652173913042,22.0,43.0,servic
0.047619047619047616,1.3333333333333333,20.0,28.0,distribut
0.03225806451612903,1.2903225806451613,30.0,40.0,index
0.0625,1.3125,15.0,21.0,deleg
0.02040816326530612,1.1224489795918366,48.0,55.0,detect
0.1111111111111111,1.222222222222222,8.0,11.0,length
0.05263157894736842,1.2105263157894737,18.0,23.0,appear
0.05263157894736842,1.0,18.0,19.0,clean
0.1,1.0,9.0,10.0,space
0.038461538461538464,1.1153846153846154,25.0,29.0,miss
