oper,repair,node,execut,read,request,send,custom,write,degre,pressur,user,timeout,sens,subject,wait
1.0,0,0,0,2.0,2.0,0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,0
0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0,0,0,0,1.0,0,0,1.0
