IDF,TF*IDF,DF,TF,Word
0.5,0.5,1.0,1.0,stream
0.5,0.5,1.0,1.0,exec
0.5,0.5,1.0,1.0,read
0.5,0.5,1.0,1.0,watch
0.5,0.5,1.0,1.0,batch
0.5,0.5,1.0,1.0,tail
0.5,0.5,1.0,1.0,output
0.5,1.0,1.0,2.0,cpu
