TF,DF,Word
3,1,lot
1,1,forward
1,1,cowork
10,8,function
1,1,domin
1,1,atom
3,2,info
2,1,pull
1,1,default
1,1,rpcserver
1,1,bucket
2,1,record
1,1,replay
2,2,limit
12,11,problem
3,2,deadlock
5,5,expect
3,2,scanner
19,17,creat
1,1,chao
4,3,exist
1,1,servershutdown
20,11,file
4,1,checkandput
16,14,check
1,1,probabl
1,1,refactor
1,1,cleanup
1,1,collis
4,4,branch
1,1,regionplan
23,19,test
25,19,node
1,1,variabl
1,1,notif
3,3,intend
3,3,sequenc
1,1,flusher
1,1,multiput
2,2,reduc
3,2,bulk
1,1,algorithm
1,1,testfsck
1,1,descript
21,18,time
1,1,sasl
1,1,integrationtestbulkload
