fair,give,schedul,number,file,memori,submit,delay,start,pend,call,tracker,progress,split,map,read,notic,job,initi,pool,reduc,task,queue,inform,limit,time,hung,manag
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0,1.0,0,2.0,1.0,1.0,0,1.0,0,1.0,1.0,1.0,0,1.0
0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,1.0,0,1.0,2.0,0,0,1.0,0,1.0,0,0,0,1.0,0
